team,season,poll,week,rank,date
Minnesota State Mankato,2025,COACHES,1,11,2025-11-24T19:53:36.438Z
Valdosta State,2025,COACHES,1,12,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,1,13,2025-11-24T19:53:36.438Z
University Of Charleston (WV),2025,COACHES,1,14,2025-11-24T19:53:36.438Z
PennWest California,2025,COACHES,1,15,2025-11-24T19:53:36.438Z
Bemidji State,2025,COACHES,1,16,2025-11-24T19:53:36.438Z
Lenoir-Rhyne,2025,COACHES,1,17,2025-11-24T19:53:36.438Z
Ouachita Baptist,2025,COACHES,1,18,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,1,19,2025-11-24T19:53:36.438Z
Indianapolis,2025,COACHES,1,20,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,1,21,2025-11-24T19:53:36.438Z
Central Missouri,2025,COACHES,1,22,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,1,23,2025-11-24T19:53:36.438Z
Ashland,2025,COACHES,1,24,2025-11-24T19:53:36.438Z
Miles College,2025,COACHES,1,24,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,2,1,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,2,2,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,2,3,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,2,3,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,2,5,2025-11-24T19:53:36.438Z
South Dakota,2025,COACHES,2,6,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,2,7,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,2,8,2025-11-24T19:53:36.438Z
Incarnate Word,2025,COACHES,2,9,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,2,10,2025-11-24T19:53:36.438Z
Idaho,2025,COACHES,2,11,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,2,12,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,2,13,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,2,14,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,2,15,2025-11-24T19:53:36.438Z
Sacramento State,2025,COACHES,2,16,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,2,17,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,2,18,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,2,19,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,2,20,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,2,21,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,2,22,2025-11-24T19:53:36.438Z
Stephen F. Austin,2025,COACHES,2,23,2025-11-24T19:53:36.438Z
East Tennessee State,2025,COACHES,2,24,2025-11-24T19:53:36.438Z
Nicholls,2025,COACHES,2,25,2025-11-24T19:53:36.438Z
Western Carolina,2025,COACHES,2,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,2,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,2,2,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,2,3,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,2,4,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,2,5,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,2,6,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,2,7,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,2,8,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,2,9,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,2,10,2025-11-24T19:53:36.438Z
Valdosta State,2025,COACHES,2,11,2025-11-24T19:53:36.438Z
University Of Charleston (WV),2025,COACHES,2,12,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,2,13,2025-11-24T19:53:36.438Z
PennWest California,2025,COACHES,2,14,2025-11-24T19:53:36.438Z
Ouachita Baptist,2025,COACHES,2,15,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,2,16,2025-11-24T19:53:36.438Z
Indianapolis,2025,COACHES,2,17,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,2,18,2025-11-24T19:53:36.438Z
Central Oklahoma,2025,COACHES,2,19,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,2,20,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,2,21,2025-11-24T19:53:36.438Z
Delta State,2025,COACHES,2,22,2025-11-24T19:53:36.438Z
Ashland,2025,COACHES,2,23,2025-11-24T19:53:36.438Z
Lenoir-Rhyne,2025,COACHES,2,24,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,2,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,2,1,2025-11-24T19:53:36.438Z
Penn State,2025,COACHES,2,2,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,2,3,2025-11-24T19:53:36.438Z
LSU,2025,COACHES,2,4,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,2,5,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,2,6,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,2,7,2025-11-24T19:53:36.438Z
Clemson,2025,COACHES,2,8,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,2,9,2025-11-24T19:53:36.438Z
Arizona State,2025,COACHES,2,10,2025-11-24T19:53:36.438Z
South Carolina,2025,COACHES,2,11,2025-11-24T19:53:36.438Z
Illinois,2025,COACHES,2,12,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,2,13,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,2,14,2025-11-24T19:53:36.438Z
Florida,2025,COACHES,2,15,2025-11-24T19:53:36.438Z
SMU,2025,COACHES,2,16,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,2,17,2025-11-24T19:53:36.438Z
Iowa State,2025,COACHES,2,18,2025-11-24T19:53:36.438Z
Florida State,2025,COACHES,2,19,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,2,20,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,2,21,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,2,22,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,2,23,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,2,24,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,2,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,3,1,2025-11-24T19:53:36.438Z
Penn State,2025,COACHES,3,2,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,3,3,2025-11-24T19:53:36.438Z
LSU,2025,COACHES,3,4,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,3,5,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,3,6,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,3,7,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,3,8,2025-11-24T19:53:36.438Z
Illinois,2025,COACHES,3,9,2025-11-24T19:53:36.438Z
South Carolina,2025,COACHES,3,10,2025-11-24T19:53:36.438Z
Clemson,2025,COACHES,3,11,2025-11-24T19:53:36.438Z
Florida State,2025,COACHES,3,12,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,3,13,2025-11-24T19:53:36.438Z
Iowa State,2025,COACHES,3,14,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,3,15,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,3,16,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,3,17,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,3,18,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,3,19,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,3,20,2025-11-24T19:53:36.438Z
Utah,2025,COACHES,3,21,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,3,22,2025-11-24T19:53:36.438Z
South Florida,2025,COACHES,3,23,2025-11-24T19:53:36.438Z
Arizona State,2025,COACHES,3,24,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,3,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,3,1,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,3,2,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,3,3,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,3,4,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,3,5,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,3,6,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,3,7,2025-11-24T19:53:36.438Z
Incarnate Word,2025,COACHES,3,8,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,3,9,2025-11-24T19:53:36.438Z
Idaho,2025,COACHES,3,10,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,3,11,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,3,12,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,3,13,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,3,14,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,3,15,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,3,16,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,3,17,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,3,18,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,3,19,2025-11-24T19:53:36.438Z
South Dakota,2025,COACHES,3,20,2025-11-24T19:53:36.438Z
Sacramento State,2025,COACHES,3,21,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,3,22,2025-11-24T19:53:36.438Z
Austin Peay,2025,COACHES,3,23,2025-11-24T19:53:36.438Z
New Hampshire,2025,COACHES,3,24,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,3,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,3,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,3,2,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,3,3,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,3,4,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,3,5,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,3,6,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,3,7,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,3,8,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,3,9,2025-11-24T19:53:36.438Z
PennWest California,2025,COACHES,3,10,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,3,11,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,3,12,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,3,13,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,3,14,2025-11-24T19:53:36.438Z
Central Oklahoma,2025,COACHES,3,15,2025-11-24T19:53:36.438Z
Delta State,2025,COACHES,3,16,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,3,17,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,3,18,2025-11-24T19:53:36.438Z
University Of Charleston (WV),2025,COACHES,3,18,2025-11-24T19:53:36.438Z
Ashland,2025,COACHES,3,20,2025-11-24T19:53:36.438Z
Lenoir-Rhyne,2025,COACHES,3,21,2025-11-24T19:53:36.438Z
Valdosta State,2025,COACHES,3,22,2025-11-24T19:53:36.438Z
Carson-Newman College,2025,COACHES,3,23,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,3,24,2025-11-24T19:53:36.438Z
Minnesota Duluth,2025,COACHES,3,24,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,3,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,3,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,3,3,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,3,4,2025-11-24T19:53:36.438Z
Susquehanna,2025,COACHES,3,5,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,3,6,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,3,7,2025-11-24T19:53:36.438Z
Mary Hardin-Baylor,2025,COACHES,3,8,2025-11-24T19:53:36.438Z
Wisconsin-Lacrosse,2025,COACHES,3,9,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,3,10,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,3,11,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,3,12,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,3,13,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,3,14,2025-11-24T19:53:36.438Z
Grove City College,2025,COACHES,3,15,2025-11-24T19:53:36.438Z
Carnegie Mellon,2025,COACHES,3,16,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,3,17,2025-11-24T19:53:36.438Z
Wisconsin-Oshkosh,2025,COACHES,3,18,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,3,19,2025-11-24T19:53:36.438Z
Randolph-Macon,2025,COACHES,3,20,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,3,21,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,3,22,2025-11-24T19:53:36.438Z
Cortland,2025,COACHES,3,23,2025-11-24T19:53:36.438Z
Linfield College,2025,COACHES,3,24,2025-11-24T19:53:36.438Z
Springfield,2025,COACHES,3,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,4,1,2025-11-24T19:53:36.438Z
Penn State,2025,COACHES,4,2,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,4,3,2025-11-24T19:53:36.438Z
LSU,2025,COACHES,4,4,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,4,5,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,4,6,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,4,7,2025-11-24T19:53:36.438Z
Illinois,2025,COACHES,4,8,2025-11-24T19:53:36.438Z
Florida State,2025,COACHES,4,9,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,4,10,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,4,11,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,4,12,2025-11-24T19:53:36.438Z
Iowa State,2025,COACHES,4,13,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,4,14,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,4,15,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,4,16,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,4,17,2025-11-24T19:53:36.438Z
Utah,2025,COACHES,4,18,2025-11-24T19:53:36.438Z
Georgia Tech,2025,COACHES,4,19,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,4,20,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,4,21,2025-11-24T19:53:36.438Z
Missouri,2025,COACHES,4,22,2025-11-24T19:53:36.438Z
Vanderbilt,2025,COACHES,4,23,2025-11-24T19:53:36.438Z
South Carolina,2025,COACHES,4,24,2025-11-24T19:53:36.438Z
Auburn,2025,COACHES,4,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,4,1,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,4,2,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,4,3,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,4,4,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,4,5,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,4,6,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,4,6,2025-11-24T19:53:36.438Z
Idaho,2025,COACHES,4,8,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,4,9,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,4,10,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,4,11,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,4,12,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,4,12,2025-11-24T19:53:36.438Z
Incarnate Word,2025,COACHES,4,14,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,4,15,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,4,16,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,4,17,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,4,18,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,4,19,2025-11-24T19:53:36.438Z
Austin Peay,2025,COACHES,4,20,2025-11-24T19:53:36.438Z
South Dakota,2025,COACHES,4,21,2025-11-24T19:53:36.438Z
Sacramento State,2025,COACHES,4,22,2025-11-24T19:53:36.438Z
New Hampshire,2025,COACHES,4,23,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,4,24,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,4,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,4,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,4,2,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,4,3,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,4,4,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,4,5,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,4,6,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,4,7,2025-11-24T19:53:36.438Z
PennWest California,2025,COACHES,4,8,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,4,9,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,4,10,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,4,11,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,4,12,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,4,13,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,4,14,2025-11-24T19:53:36.438Z
Central Oklahoma,2025,COACHES,4,15,2025-11-24T19:53:36.438Z
Minnesota Duluth,2025,COACHES,4,16,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,4,17,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,4,18,2025-11-24T19:53:36.438Z
Lenoir-Rhyne,2025,COACHES,4,19,2025-11-24T19:53:36.438Z
Valdosta State,2025,COACHES,4,20,2025-11-24T19:53:36.438Z
Johnson C Smith,2025,COACHES,4,21,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,4,22,2025-11-24T19:53:36.438Z
Wingate,2025,COACHES,4,23,2025-11-24T19:53:36.438Z
Michigan Tech,2025,COACHES,4,24,2025-11-24T19:53:36.438Z
Sioux Falls,2025,COACHES,4,25,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,4,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,4,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,4,3,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,4,4,2025-11-24T19:53:36.438Z
Susquehanna,2025,COACHES,4,5,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,4,6,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,4,7,2025-11-24T19:53:36.438Z
Wisconsin-Lacrosse,2025,COACHES,4,8,2025-11-24T19:53:36.438Z
Mary Hardin-Baylor,2025,COACHES,4,9,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,4,10,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,4,11,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,4,12,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,4,13,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,4,14,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,4,15,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,4,16,2025-11-24T19:53:36.438Z
Grove City College,2025,COACHES,4,17,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,4,18,2025-11-24T19:53:36.438Z
Trinity University TX,2025,COACHES,4,19,2025-11-24T19:53:36.438Z
Carnegie Mellon,2025,COACHES,4,20,2025-11-24T19:53:36.438Z
Wisconsin-Oshkosh,2025,COACHES,4,21,2025-11-24T19:53:36.438Z
Berry College,2025,COACHES,4,22,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,4,23,2025-11-24T19:53:36.438Z
Cortland,2025,COACHES,4,24,2025-11-24T19:53:36.438Z
Central College,2025,COACHES,4,25,2025-11-24T19:53:36.438Z
Ohio State,2025,COACHES,5,1,2025-11-24T19:53:36.438Z
Penn State,2025,COACHES,5,2,2025-11-24T19:53:36.438Z
Georgia,2025,COACHES,5,3,2025-11-24T19:53:36.438Z
LSU,2025,COACHES,5,4,2025-11-24T19:53:36.438Z
Oregon,2025,COACHES,5,5,2025-11-24T19:53:36.438Z
Miami,2025,COACHES,5,6,2025-11-24T19:53:36.438Z
Texas,2025,COACHES,5,7,2025-11-24T19:53:36.438Z
Florida State,2025,COACHES,5,8,2025-11-24T19:53:36.438Z
Texas A&M,2025,COACHES,5,9,2025-11-24T19:53:36.438Z
Oklahoma,2025,COACHES,5,10,2025-11-24T19:53:36.438Z
Ole Miss,2025,COACHES,5,11,2025-11-24T19:53:36.438Z
Indiana,2025,COACHES,5,12,2025-11-24T19:53:36.438Z
Iowa State,2025,COACHES,5,13,2025-11-24T19:53:36.438Z
Texas Tech,2025,COACHES,5,14,2025-11-24T19:53:36.438Z
Tennessee,2025,COACHES,5,15,2025-11-24T19:53:36.438Z
Alabama,2025,COACHES,5,16,2025-11-24T19:53:36.438Z
Georgia Tech,2025,COACHES,5,17,2025-11-24T19:53:36.438Z
Michigan,2025,COACHES,5,18,2025-11-24T19:53:36.438Z
Missouri,2025,COACHES,5,19,2025-11-24T19:53:36.438Z
Vanderbilt,2025,COACHES,5,20,2025-11-24T19:53:36.438Z
Notre Dame,2025,COACHES,5,21,2025-11-24T19:53:36.438Z
USC,2025,COACHES,5,22,2025-11-24T19:53:36.438Z
Illinois,2025,COACHES,5,23,2025-11-24T19:53:36.438Z
BYU,2025,COACHES,5,24,2025-11-24T19:53:36.438Z
TCU,2025,COACHES,5,25,2025-11-24T19:53:36.438Z
North Dakota State,2025,COACHES,5,1,2025-11-24T19:53:36.438Z
South Dakota State,2025,COACHES,5,2,2025-11-24T19:53:36.438Z
Tarleton State,2025,COACHES,5,3,2025-11-24T19:53:36.438Z
Montana,2025,COACHES,5,4,2025-11-24T19:53:36.438Z
Illinois State,2025,COACHES,5,5,2025-11-24T19:53:36.438Z
Montana State,2025,COACHES,5,6,2025-11-24T19:53:36.438Z
Rhode Island,2025,COACHES,5,7,2025-11-24T19:53:36.438Z
UC Davis,2025,COACHES,5,8,2025-11-24T19:53:36.438Z
Lehigh,2025,COACHES,5,9,2025-11-24T19:53:36.438Z
Idaho,2025,COACHES,5,10,2025-11-24T19:53:36.438Z
Tennessee Tech,2025,COACHES,5,11,2025-11-24T19:53:36.438Z
Southern Illinois,2025,COACHES,5,12,2025-11-24T19:53:36.438Z
Abilene Christian,2025,COACHES,5,13,2025-11-24T19:53:36.438Z
Monmouth,2025,COACHES,5,14,2025-11-24T19:53:36.438Z
North Dakota,2025,COACHES,5,15,2025-11-24T19:53:36.438Z
Northern Arizona,2025,COACHES,5,15,2025-11-24T19:53:36.438Z
Jackson State,2025,COACHES,5,17,2025-11-24T19:53:36.438Z
South Dakota,2025,COACHES,5,18,2025-11-24T19:53:36.438Z
Youngstown State,2025,COACHES,5,19,2025-11-24T19:53:36.438Z
West Georgia,2025,COACHES,5,20,2025-11-24T19:53:36.438Z
Sacramento State,2025,COACHES,5,21,2025-11-24T19:53:36.438Z
Villanova,2025,COACHES,5,22,2025-11-24T19:53:36.438Z
Mercer,2025,COACHES,5,23,2025-11-24T19:53:36.438Z
Incarnate Word,2025,COACHES,5,24,2025-11-24T19:53:36.438Z
Austin Peay,2025,COACHES,5,25,2025-11-24T19:53:36.438Z
Ferris State,2025,COACHES,5,1,2025-11-24T19:53:36.438Z
Harding University,2025,COACHES,5,2,2025-11-24T19:53:36.438Z
West Florida,2025,COACHES,5,3,2025-11-24T19:53:36.438Z
Slippery Rock,2025,COACHES,5,4,2025-11-24T19:53:36.438Z
Kutztown University,2025,COACHES,5,5,2025-11-24T19:53:36.438Z
Angelo State,2025,COACHES,5,6,2025-11-24T19:53:36.438Z
Western Colorado,2025,COACHES,5,7,2025-11-24T19:53:36.438Z
PennWest California,2025,COACHES,5,8,2025-11-24T19:53:36.438Z
Augustana University (SD),2025,COACHES,5,9,2025-11-24T19:53:36.438Z
Grand Valley State University,2025,COACHES,5,10,2025-11-24T19:53:36.438Z
UT Permian Basin,2025,COACHES,5,11,2025-11-24T19:53:36.438Z
CSU Pueblo,2025,COACHES,5,12,2025-11-24T19:53:36.438Z
West Alabama,2025,COACHES,5,13,2025-11-24T19:53:36.438Z
Minnesota State Mankato,2025,COACHES,5,14,2025-11-24T19:53:36.438Z
Central Oklahoma,2025,COACHES,5,15,2025-11-24T19:53:36.438Z
Minnesota Duluth,2025,COACHES,5,16,2025-11-24T19:53:36.438Z
Central Washington,2025,COACHES,5,17,2025-11-24T19:53:36.438Z
Pittsburg St,2025,COACHES,5,18,2025-11-24T19:53:36.438Z
Wingate,2025,COACHES,5,19,2025-11-24T19:53:36.438Z
Valdosta State,2025,COACHES,5,20,2025-11-24T19:53:36.438Z
Virginia Union,2025,COACHES,5,21,2025-11-24T19:53:36.438Z
Indianapolis,2025,COACHES,5,22,2025-11-24T19:53:36.438Z
Delta State,2025,COACHES,5,23,2025-11-24T19:53:36.438Z
Henderson State,2025,COACHES,5,24,2025-11-24T19:53:36.438Z
Findlay,2025,COACHES,5,25,2025-11-24T19:53:36.438Z
North Central College,2025,COACHES,5,1,2025-11-24T19:53:36.438Z
University of Mount Union,2025,COACHES,5,2,2025-11-24T19:53:36.438Z
Johns Hopkins University,2025,COACHES,5,3,2025-11-24T19:53:36.438Z
Saint John's (MN),2025,COACHES,5,4,2025-11-24T19:53:36.438Z
Salisbury,2025,COACHES,5,5,2025-11-24T19:53:36.438Z
Wisconsin-Lacrosse,2025,COACHES,5,6,2025-11-24T19:53:36.438Z
Hardin-Simmons,2025,COACHES,5,7,2025-11-24T19:53:36.438Z
Wisconsin-Platteville,2025,COACHES,5,8,2025-11-24T19:53:36.438Z
Wartburg,2025,COACHES,5,9,2025-11-24T19:53:36.438Z
Wisconsin-Whitewater,2025,COACHES,5,10,2025-11-24T19:53:36.438Z
Bethel (MN),2025,COACHES,5,11,2025-11-24T19:53:36.438Z
Wisconsin-River Falls,2025,COACHES,5,12,2025-11-24T19:53:36.438Z
Depauw,2025,COACHES,5,13,2025-11-24T19:53:36.438Z
Susquehanna,2025,COACHES,5,14,2025-11-24T19:53:36.438Z
Hope College,2025,COACHES,5,15,2025-11-24T19:53:36.438Z
Trinity University TX,2025,COACHES,5,16,2025-11-24T19:53:36.438Z
Wheaton,2025,COACHES,5,16,2025-11-24T19:53:36.438Z
Mary Hardin-Baylor,2025,COACHES,5,18,2025-11-24T19:53:36.438Z
Grove City College,2025,COACHES,5,19,2025-11-24T19:53:36.438Z
Carnegie Mellon,2025,COACHES,5,20,2025-11-24T19:53:36.438Z
Wisconsin-Oshkosh,2025,COACHES,5,21,2025-11-24T19:53:36.438Z
John Carroll University,2025,COACHES,5,22,2025-11-24T19:53:36.438Z
Central College,2025,COACHES,5,23,2025-11-24T19:53:36.438Z
