teamId,season,coach,spPlus,elo,returningProduction,wins,losses,ties,confWins,confLosses
michigan,2025,,15.2,1825, ,0,0,0,0,0
michigan-state,2025,,-5.2,1382, ,0,0,0,0,0
middle-tennessee,2025,,-18,1148, ,0,0,0,0,0
minnesota,2025,,-0.2,1491, ,0,0,0,0,0
mississippi-state,2025,,5.1,1492, ,0,0,0,0,0
mississippi-valley-state,2025,,,, ,0,0,0,0,0
missouri,2025,,15.4,1748, ,0,0,0,0,0
missouri-state,2025,,-7.8,1366, ,0,0,0,0,0
monmouth,2025,,,, ,0,0,0,0,0
montana,2025,,,, ,0,0,0,0,0
montana-state,2025,,,, ,0,0,0,0,0
morehead-state,2025,,,, ,0,0,0,0,0
morgan-state,2025,,,, ,0,0,0,0,0
murray-state,2025,,,, ,0,0,0,0,0
navy,2025,,2.3,1485, ,0,0,0,0,0
nc-state,2025,,0.7,1481, ,0,0,0,0,0
nebraska,2025,,8.8,1611, ,0,0,0,0,0
nevada,2025,,-12.6,1303, ,0,0,0,0,0
new-hampshire,2025,,,, ,0,0,0,0,0
new-haven,2025,,,, ,0,0,0,0,0
new-mexico,2025,,0,1491, ,0,0,0,0,0
new-mexico-state,2025,,-14.1,1188, ,0,0,0,0,0
nicholls,2025,,,, ,0,0,0,0,0
norfolk-state,2025,,,, ,0,0,0,0,0
north-alabama,2025,,,, ,0,0,0,0,0
north-carolina,2025,,-6.1,1364, ,0,0,0,0,0
north-carolina-at,2025,,,, ,0,0,0,0,0
north-carolina-central,2025,,,, ,0,0,0,0,0
north-dakota,2025,,,, ,0,0,0,0,0
north-dakota-state,2025,,,, ,0,0,0,0,0
northern-arizona,2025,,,, ,0,0,0,0,0
northern-colorado,2025,,,, ,0,0,0,0,0
northern-illinois,2025,,-15.8,1260, ,0,0,0,0,0
northern-iowa,2025,,,, ,0,0,0,0,0
north-texas,2025,,16.4,1741, ,0,0,0,0,0
northwestern,2025,,1.9,1531, ,0,0,0,0,0
northwestern-state,2025,,,, ,0,0,0,0,0
notre-dame,2025,,24.3,2263, ,0,0,0,0,0
ohio,2025,,-2.7,1572, ,0,0,0,0,0
ohio-state,2025,,32.4,2158, ,0,0,0,0,0
oklahoma,2025,,19.5,1824, ,0,0,0,0,0
oklahoma-state,2025,,-16.4,1084, ,0,0,0,0,0
old-dominion,2025,,6.2,1635, ,0,0,0,0,0
ole-miss,2025,,21.9,1959, ,0,0,0,0,0
oregon,2025,,26.6,2086, ,0,0,0,0,0
oregon-state,2025,,-13.3,1175, ,0,0,0,0,0
penn-state,2025,,16.4,1975, ,0,0,0,0,0
pennsylvania,2025,,,, ,0,0,0,0,0
pittsburgh,2025,,11.7,1691, ,0,0,0,0,0
portland-state,2025,,,, ,0,0,0,0,0
prairie-view-am,2025,,,, ,0,0,0,0,0
presbyterian,2025,,,, ,0,0,0,0,0
princeton,2025,,,, ,0,0,0,0,0
purdue,2025,,-6.5,1276, ,0,0,0,0,0
rhode-island,2025,,,, ,0,0,0,0,0
rice,2025,,-12.5,1144, ,0,0,0,0,0
richmond,2025,,,, ,0,0,0,0,0
robert-morris,2025,,,, ,0,0,0,0,0
rutgers,2025,,-0.5,1445, ,0,0,0,0,0
sacramento-state,2025,,,, ,0,0,0,0,0
sacred-heart,2025,,,, ,0,0,0,0,0
samford,2025,,,, ,0,0,0,0,0
sam-houston,2025,,-25.4,1068, ,0,0,0,0,0
san-diego,2025,,,, ,0,0,0,0,0
san-diego-state,2025,,7.2,1530, ,0,0,0,0,0
san-josé-state,2025,,-11.4,1185, ,0,0,0,0,0
se-louisiana,2025,,,, ,0,0,0,0,0
smu,2025,,14.8,1860, ,0,0,0,0,0
south-alabama,2025,,-10.4,1375, ,0,0,0,0,0
south-carolina,2025,,6.1,1730, ,0,0,0,0,0
south-carolina-state,2025,,,, ,0,0,0,0,0
south-dakota,2025,,,, ,0,0,0,0,0
south-dakota-state,2025,,,, ,0,0,0,0,0
southeast-missouri-state,2025,,,, ,0,0,0,0,0
southern,2025,,,, ,0,0,0,0,0
southern-illinois,2025,,,, ,0,0,0,0,0
southern-miss,2025,,-4.2,1297, ,0,0,0,0,0
southern-utah,2025,,,, ,0,0,0,0,0
south-florida,2025,,12.4,1751, ,0,0,0,0,0
stanford,2025,,-9.9,1315, ,0,0,0,0,0
stephen-f-austin,2025,,,, ,0,0,0,0,0
stetson,2025,,,, ,0,0,0,0,0
st-francis-pa,2025,,,, ,0,0,0,0,0
stonehill,2025,,,, ,0,0,0,0,0
stony-brook,2025,,,, ,0,0,0,0,0
st-thomas-mn,2025,,,, ,0,0,0,0,0
syracuse,2025,,-12.9,1230, ,0,0,0,0,0
tarleton-state,2025,,,, ,0,0,0,0,0
tcu,2025,,6.7,1602, ,0,0,0,0,0
temple,2025,,-5.1,1234, ,0,0,0,0,0
tennessee,2025,,17.5,1856, ,0,0,0,0,0
tennessee-state,2025,,,, ,0,0,0,0,0
tennessee-tech,2025,,,, ,0,0,0,0,0
texas,2025,,14.9,1880, ,0,0,0,0,0
texas-am,2025,,22.6,1896, ,0,0,0,0,0
texas-southern,2025,,,, ,0,0,0,0,0
texas-state,2025,,-1.5,1533, ,0,0,0,0,0
texas-tech,2025,,28.7,1997, ,0,0,0,0,0
the-citadel,2025,,,, ,0,0,0,0,0
toledo,2025,,8.4,1642, ,0,0,0,0,0
towson,2025,,,, ,0,0,0,0,0
troy,2025,,-4.2,1362, ,0,0,0,0,0
tulane,2025,,5.8,1575, ,0,0,0,0,0
tulsa,2025,,-10.7,1119, ,0,0,0,0,0
uab,2025,,-16.8,1175, ,0,0,0,0,0
ualbany,2025,,,, ,0,0,0,0,0
uc-davis,2025,,,, ,0,0,0,0,0
ucf,2025,,0.7,1464, ,0,0,0,0,0
ucla,2025,,-8.5,1313, ,0,0,0,0,0
uconn,2025,,6.3,1554, ,0,0,0,0,0
ul-monroe,2025,,-21.6,1013, ,0,0,0,0,0
unlv,2025,,5.7,1663, ,0,0,0,0,0
usc,2025,,16.3,1898, ,0,0,0,0,0
utah,2025,,21.4,1971, ,0,0,0,0,0
utah-state,2025,,-0.7,1455, ,0,0,0,0,0
utah-tech,2025,,,, ,0,0,0,0,0
utep,2025,,-15,1208, ,0,0,0,0,0
ut-martin,2025,,,, ,0,0,0,0,0
ut-rio-grande-valley,2025,,,, ,0,0,0,0,0
